
====================================================================================================
PROFILE SUMMARY
====================================================================================================
Fri Feb 27 19:10:04 2026    /home/ryan/Documents/2026-Rebuild/src/teleop.prof

         159180 function calls (159115 primitive calls) in 6.931 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.001    0.000    0.001    0.000 <frozen posixpath>:72(join)
       20    0.002    0.000    0.011    0.001 /usr/local/lib/python3.14/inspect.py:1724(getattr_static)
       34    0.031    0.001    3.065    0.090 /usr/local/lib/python3.14/inspect.py:1567(getframeinfo)
      680    0.008    0.000    0.015    0.000 /usr/local/lib/python3.14/linecache.py:204(lazycache)
      679    0.264    0.000    1.853    0.003 <frozen posixpath>:388(realpath)
8487/8482    0.098    0.000    0.177    0.000 /usr/local/lib/python3.14/enum.py:186(__get__)
      503    0.010    0.000    0.010    0.000 /usr/local/lib/python3.14/enum.py:1145(__new__)
      747    0.115    0.000    0.878    0.001 /usr/local/lib/python3.14/inspect.py:857(getsourcefile)
      805    0.022    0.000    0.045    0.000 /usr/local/lib/python3.14/inspect.py:817(getfile)
       42    0.194    0.005    2.934    0.070 /usr/local/lib/python3.14/inspect.py:897(getmodule)
       34    0.010    0.000    2.893    0.085 /usr/local/lib/python3.14/inspect.py:949(findsource)
       23    0.023    0.001    1.257    0.055 /home/lvuser/py/lemonlib/lemonbot/lemon_robot.py:91(_do_periodics)
      109    0.050    0.000    0.159    0.001 /home/lvuser/py/lemonlib/smart/preference.py:61(__get__)
      466    0.035    0.000    0.493    0.001 /usr/local/lib/python3.14/linecache.py:76(checkcache)
       91    0.005    0.000    0.103    0.001 /usr/local/lib/python3.14/linecache.py:112(updatecache)
        7    0.005    0.001    0.010    0.001 /usr/local/lib/python3.14/tokenize.py:358(detect_encoding)
        8    0.001    0.000    0.001    0.000 /usr/local/lib/python3.14/tokenize.py:400(find_cookie)
       69    0.003    0.000    0.005    0.000 /usr/local/lib/python3.14/contextlib.py:145(__exit__)
     2634    0.064    0.000    0.232    0.000 /usr/local/lib/python3.14/traceback.py:344(_set_lines)
       40    0.092    0.002    0.778    0.019 /usr/local/lib/python3.14/traceback.py:459(_extract_from_extended_frame_gen)
      676    0.115    0.000    0.223    0.000 /usr/local/lib/python3.14/textwrap.py:416(dedent)
      676    0.122    0.000    0.698    0.001 /usr/local/lib/python3.14/traceback.py:528(format_frame_summary)
       40    0.030    0.001    0.509    0.013 /usr/local/lib/python3.14/traceback.py:745(format)
     10/3    0.000    0.000    0.002    0.001 /usr/local/lib/python3.14/typing.py:2001(__subclasscheck__)
       23    0.002    0.000    0.016    0.001 /usr/local/lib/python3.14/typing.py:2027(__instancecheck__)
       10    0.001    0.000    0.001    0.000 /usr/local/lib/python3.14/typing.py:2061(_proto_hook)
       12    0.001    0.000    0.069    0.006 /usr/local/lib/python3.14/logging/__init__.py:1721(callHandlers)
       12    0.002    0.000    0.008    0.001 /usr/local/lib/python3.14/logging/__init__.py:298(__init__)
       12    0.002    0.000    0.005    0.000 /usr/local/lib/python3.14/logging/__init__.py:699(format)
